MINERAL,GROUP,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,Cr,Mn,Fe
Albite,Feldspar,1.167315175,23.3463035,0,19.45525292,53.69649805,0.389105058,0.778210117,0,1.167315175,0,0,0,0,0
Albite,Feldspar,4.838709677,25,0.403225806,18.14516129,47.17741935,0.806451613,1.209677419,0.403225806,1.612903226,0.403225806,0,0,0,0
Albite,Feldspar,0.714285714,22.85714286,0,19.64285714,53.92857143,0.357142857,0.714285714,0.357142857,1.428571429,0,0,0,0,0
Albite,Feldspar,1.321585903,24.22907489,0,19.82378855,53.30396476,0,0.440528634,0,0.881057269,0,0,0,0,0
Albite,Feldspar,1.923076923,25,0.641025641,19.23076923,50.64102564,0.641025641,0.641025641,0,1.282051282,0,0,0,0,0
Albite,Feldspar,0,17.56097561,0,20.48780488,58.04878049,0,0.487804878,0,1.463414634,0.487804878,0.487804878,0.487804878,0.487804878,0
Albite,Feldspar,0,18.24104235,0,20.52117264,58.30618893,0,0.325732899,0.325732899,1.302931596,0.325732899,0.325732899,0.325732899,0,0
Albite,Feldspar,0.790513834,22.52964427,0,19.76284585,54.54545455,0.395256917,0.395256917,0,1.185770751,0.395256917,0,0,0,0
Albite,Feldspar,0,23.76237624,0,20.2970297,53.96039604,0,0.495049505,0,0.99009901,0,0,0,0,0.495049505
Albite,Feldspar,2.173913043,23.91304348,0.434782609,19.13043478,50.86956522,0.434782609,0.869565217,0.434782609,1.304347826,0.434782609,0,0,0,0
Albite,Feldspar,0,22.61484099,0,20.14134276,55.12367491,0.35335689,0.706713781,0,1.060070671,0,0,0,0,0
Albite,Feldspar,0,18.46153846,0,21.53846154,58.46153846,0,0,0,1.538461538,0,0,0,0,0
Albite,Feldspar,0,19.31818182,0,20.45454545,56.81818182,0,0.568181818,0,1.136363636,0.568181818,0.568181818,0.568181818,0,0
Albite,Feldspar,0,20.75471698,0,23.58490566,54.71698113,0,0,0,0.943396226,0,0,0,0,0
Albite,Feldspar,2.564102564,25.21367521,0,18.8034188,50.42735043,0.427350427,0.854700855,0.427350427,1.282051282,0,0,0,0,0
Albite,Feldspar,1.694915254,23.72881356,0.564971751,19.20903955,51.97740113,0.564971751,0.564971751,0.564971751,1.129943503,0,0,0,0,0
Albite,Feldspar,6.52173913,26.08695652,0,17.39130435,43.47826087,2.173913043,2.173913043,0,2.173913043,0,0,0,0,0
Albite,Feldspar,0.877192982,23.24561404,0,19.73684211,53.94736842,0.438596491,0.877192982,0,0.877192982,0,0,0,0,0
Albite,Feldspar,0,23.71134021,0,20.6185567,54.63917526,0,0,0,1.030927835,0,0,0,0,0
Albite,Feldspar,1.587301587,22.22222222,0,19.84126984,53.17460317,0,0.793650794,0,1.587301587,0.793650794,0,0,0,0
Albite,Feldspar,0,18.18181818,0,20.70707071,58.08080808,0,0,0,1.515151515,0.505050505,0.505050505,0.505050505,0,0
Apatite,Apatite,17.21721722,2.202202202,0.1001001,0,0.2002002,27.62762763,0.1001001,0.600600601,0,51.25125125,0.2002002,0.1001001,0.3003003,0.1001001
Apatite,Apatite,13.18681319,0.599400599,0,0,0.0999001,28.57142857,0.1998002,0.699300699,0,55.24475524,0.1998002,0.3996004,0.699300699,0.0999001
Apatite,Apatite,5.6,0.1,0,0.2,0.3,30,0,0.2,0,62.1,0.3,0.4,0.6,0.2
Apatite,Apatite,11.0667996,0.498504487,0,0,0.299102692,29.31206381,0.199401795,0.697906281,0,56.43070788,0.199401795,0.398803589,0.797607178,0.099700897
Apatite,Apatite,11.01101101,0.3003003,0,0,0.1001001,30.23023023,0.1001001,0.600600601,0,56.95695696,0.1001001,0.2002002,0.4004004,0
Apatite,Apatite,11.8,3.6,1.1,0.8,0.7,27.8,0.3,0.9,0,52,0.2,0.2,0.5,0.1
Apatite,Apatite,7.2,0.8,0.2,0.5,0.9,29.6,0.3,1,0,58.1,0.2,0.4,0.7,0.1
Apatite,Apatite,2.2,0,0,0.1,0,15.1,0,0.2,1,80.2,0.2,0.6,0.1,0.3
Apatite,Apatite,6.293706294,0,0,0,0.0999001,29.87012987,0.0999001,0.4995005,0,62.53746254,0.0999001,0.2997003,0.1998002,0
Apatite,Apatite,15.11511512,0.900900901,0,0,0.1001001,28.42842843,0.1001001,0.600600601,0,53.65365365,0.2002002,0.3003003,0.600600601,0
Apatite,Apatite,0,0,0,0,0,12.6,0,0,0.3,85.9,0.2,0.6,0.2,0.2
Apatite,Apatite,8.617234469,0,0,0,0.100200401,29.65931864,0.100200401,0.601202405,0,60.42084168,0.100200401,0.200400802,0.200400802,0
Apatite,Apatite,2.202202202,0,0,0,0.1001001,27.52752753,0.1001001,0.4004004,0.1001001,69.26926927,0.1001001,0.2002002,0,0
Apatite,Apatite,5.2,0,0,0,0,24.2,0,0.3,0,69.9,0.2,0.2,0,0
Apatite,Apatite,7.4,0,0,0,0.3,29.5,0.3,0.7,0,60.6,0.2,0.4,0.5,0.1
Apatite,Apatite,8.191808192,0,0,0,0.2997003,28.07192807,0.0999001,0.599400599,0,61.83816184,0.1998002,0.3996004,0.2997003,0
Apatite,Apatite,1.19760479,0,0,0,0,24.25149701,0,0.299401198,0.199600798,73.25349301,0.199600798,0.399201597,0.099800399,0.099800399
Apatite,Apatite,13.2,0.3,0,0,0.4,28.7,0.1,0.5,0,56.1,0.1,0.2,0.4,0
Apatite,Apatite,11.78821179,0.4995005,0,0,0.0999001,29.77022977,0.1998002,0.599400599,0,56.04395604,0.1998002,0.1998002,0.599400599,0
Apatite,Apatite,9.9,0.2,0,0,0.2,29.8,0.3,0.6,0,57.7,0.2,0.4,0.6,0.1
Apatite,Apatite,7.707707708,0,0,0,0.2002002,30.23023023,0.1001001,0.600600601,0,60.96096096,0.1001001,0.1001001,0,0
Apatite,Apatite,9.50950951,0.1001001,0,0,0.3003003,29.52952953,0.2002002,0.600600601,0,58.85885886,0.1001001,0.3003003,0.500500501,0
Apatite,Apatite,10.68931069,0.799200799,0,0.1998002,0.3996004,29.47052947,0.1998002,0.699300699,0,55.94405594,0.1998002,0.3996004,0.899100899,0.0999001
Apatite,Apatite,8.5,0.1,0,0,0.2,29.7,0.2,0.6,0,60.2,0.1,0.2,0.2,0
Apatite,Apatite,8.4,0,0,0,0.2,30.1,0.1,0.6,0,60,0.1,0.3,0.2,0
Apatite,Apatite,3.3,0,0,0,0.2,27.8,0.3,0.6,0.1,66.2,0.3,0.6,0.5,0.1
Apatite,Apatite,10.6,0.1,0,0,0.1,29.4,0.1,0.6,0,58.3,0.2,0.2,0.4,0
Apatite,Apatite,8.4,0,0,0,0.2,29.8,0.2,0.6,0,60.1,0.1,0.3,0.3,0
Apatite,Apatite,10.91091091,0.2002002,0,0,0.1001001,29.92992993,0.1001001,0.600600601,0,57.45745746,0.1001001,0.3003003,0.3003003,0
Apatite,Apatite,7.6,0.1,0,0,0.2,30.7,0.1,0.6,0,60.1,0.1,0.3,0.2,0
Apatite,Apatite,9.70970971,0.2002002,0,0.1001001,0.3003003,29.52952953,0.3003003,0.700700701,0,58.55855856,0.1001001,0.3003003,0.2002002,0
Apatite,Apatite,9.50950951,0.1001001,0,0,0.2002002,29.52952953,0.3003003,0.600600601,0,58.55855856,0.2002002,0.4004004,0.600600601,0
Apatite,Apatite,10.61061061,0.2002002,0,0,0.2002002,29.32932933,0.1001001,0.700700701,0,58.25825826,0.1001001,0.2002002,0.3003003,0
Apatite,Apatite,5.494505495,0,0,0.0999001,0.3996004,28.37162837,0.2997003,0.599400599,0,63.93606394,0.1998002,0.2997003,0.1998002,0.0999001
Apatite,Apatite,9.2,0.2,0,0,0.2,29.2,0.3,0.7,0,59,0.2,0.4,0.6,0
Apatite,Apatite,2.2,0,0,0,0.1,29.2,0.1,0.6,0,67,0.1,0.4,0.2,0.1
Apatite,Apatite,4.5,0,0,0.1,0.3,28.1,0.3,0.7,0.2,63.9,0.5,0.8,0.5,0.1
Apatite,Apatite,9.89010989,0.2997003,0,0,0.1998002,29.57042957,0.2997003,0.599400599,0,58.24175824,0.1998002,0.2997003,0.3996004,0
Augite,Pyroxene,0,0.899100899,16.18381618,7.692307692,43.25674326,0.0999001,0.599400599,0,0.0999001,23.57642358,1.098901099,0.0999001,0,6.393606394
Augite,Pyroxene,0,3.1,12.1,13.8,45,0.6,0.2,0,1.3,9.5,1.8,0.1,0.3,12.2
Augite,Pyroxene,0,0.4,15.4,5.5,43.9,0,0.2,0,0,26.4,1.1,0.1,0.1,6.9
Augite,Pyroxene,0,1.3,15.6,8.3,43.1,0.9,0.2,0,0.3,8.6,2.8,0.1,0.2,18.6
Augite,Pyroxene,0,0.900900901,16.51651652,6.706706707,42.34234234,1.101101101,1.201201201,0,0.3003003,24.02402402,1.001001001,0.2002002,0,5.705705706
Augite,Pyroxene,0,0.4,17.6,5.5,44.8,0.2,0.4,0,0,24.3,0.4,0,0,6.4
Augite,Pyroxene,0,0.799200799,17.78221778,6.893106893,43.85614386,0.1998002,0.1998002,0,0,23.07692308,1.098901099,0.0999001,0.0999001,5.894105894
Augite,Pyroxene,0,0.1001001,4.904904905,3.103103103,18.21821822,0,0,0.2002002,1.101101101,42.84284284,3.403403403,1.701701702,1.901901902,22.52252252
Augite,Pyroxene,0,0.5,16.5,4.4,45,0.1,0.7,0,0.2,25.4,0.9,0.1,0,6.2
Augite,Pyroxene,0,0.0999001,13.88611389,5.094905095,40.05994006,0.0999001,0,0.0999001,0.2997003,30.36963037,1.498501499,0.3996004,0.2997003,7.792207792
Augite,Pyroxene,0,0.501002004,15.93186373,6.112224449,42.68537074,0,0.400801603,0,0.100200401,26.65330661,1.102204409,0.100200401,0,6.412825651
Augite,Pyroxene,0,0.0999001,12.08791209,4.295704296,33.86613387,0,0,0.1998002,1.198801199,30.46953047,2.197802198,0.799200799,0.899100899,13.88611389
Augite,Pyroxene,0,0.099800399,10.47904192,4.391217565,33.13373253,0,0.099800399,0.099800399,0.598802395,35.22954092,2.49500998,0.798403194,0.698602794,11.8762475
Augite,Pyroxene,0,0.699300699,7.092907093,3.396603397,20.17982018,0,0,0.1998002,1.198801199,42.35764236,2.897102897,1.398601399,1.498501499,19.08091908
Augite,Pyroxene,0,0.601202405,17.13426854,4.709418838,44.38877756,0.400801603,0.100200401,0,0,25.75150301,0.901803607,0.100200401,0.100200401,5.811623246
Augite,Pyroxene,0,0.3,14.9,5.6,42.7,0,0.3,0,0.1,27.3,1.3,0.1,0,7.4
Augite,Pyroxene,0,0.501002004,16.33266533,5.811623246,43.78757515,0,0.501002004,0,0.200400802,25.1503006,1.102204409,0.400801603,0.100200401,6.112224449
Augite,Pyroxene,0,0.2,14.6,5,43.5,0,0.2,0,0.1,27.8,1.2,0.1,0,7.3
Augite,Pyroxene,0,0.8,16.7,6,43.3,0.1,0.5,0,0.1,25,1.1,0.1,0,6.3
Augite,Pyroxene,0,0.199600798,11.9760479,5.189620758,38.32335329,0,0.099800399,0.199600798,0.499001996,30.73852295,2.095808383,0.598802395,0.499001996,9.580838323
Augite,Pyroxene,0,1.598401598,16.88311688,5.894105894,43.35664336,0.3996004,0.899100899,0,0.0999001,23.07692308,1.098901099,0.0999001,0,6.593406593
Augite,Pyroxene,0,0.800800801,18.11811812,5.105105105,44.64464464,0.1001001,0.700700701,0,0.1001001,23.92392392,0.800800801,0.3003003,0,5.405405405
Augite,Pyroxene,0,1.098901099,16.58341658,5.894105894,42.95704296,0.0999001,0.4995005,0,0.0999001,24.77522478,1.298701299,0.0999001,0.0999001,6.493506494
Augite,Pyroxene,0,0.4,14.6,5.8,42.9,0,0.2,0,0.1,27.1,1.3,0.1,0.1,7.4
Augite,Pyroxene,0,0.4004004,15.01501502,5.605605606,42.74274274,0,0.3003003,0,0.1001001,27.12712713,1.401401401,0.1001001,0.1001001,7.107107107
Augite,Pyroxene,0,1.1,17.3,5.9,44,0.1,0.6,0,0.2,23.2,1.2,0.3,0.1,6
Augite,Pyroxene,0,0.3003003,16.11611612,5.205205205,44.34434434,0,0.3003003,0,0.1001001,26.42642643,0.800800801,0.1001001,0,6.306306306
Augite,Pyroxene,0,0.3003003,12.41241241,5.705705706,38.93893894,0,0.1001001,0,0.4004004,30.23023023,1.801801802,0.4004004,0.3003003,9.409409409
Augite,Pyroxene,0,0.4995005,16.38361638,5.594405594,44.45554446,0,0.599400599,0,0.1998002,25.17482517,0.799200799,0.0999001,0,6.193806194
Augite,Pyroxene,0,0.800800801,15.31531532,6.606606607,43.74374374,0,0.500500501,0,0.2002002,24.72472472,1.101101101,0.1001001,0,6.906906907
Augite,Pyroxene,0,0.1,14.9,4.9,43.1,0,0.2,0,0.2,27.7,1.3,0.4,0.2,7
Augite,Pyroxene,0,0.1,13.7,4.7,41.3,0,0.1,0,0.2,30.4,1.3,0.1,0.1,8
Augite,Pyroxene,0,0.7,16.2,6.2,43.3,0.1,0.5,0,0.2,24.5,1.3,0.4,0.2,6.4
Augite,Pyroxene,0,0.4,15.7,6.3,41.8,0.1,0.3,0,0.1,26.8,1.3,0.1,0.1,7
Augite,Pyroxene,0,0.8,16.5,5.8,43.4,0.1,0.4,0,0.1,25.3,1.1,0.1,0,6.4
Augite,Pyroxene,0,1.1,16.9,6.2,44.4,0.1,0.8,0,0.1,23.8,0.8,0.1,0,5.7
Augite,Pyroxene,0,0.599400599,16.28371628,6.093906094,43.25674326,0,0.599400599,0,0.2997003,24.87512488,1.198801199,0.4995005,0.0999001,6.193806194
Augite,Pyroxene,0,1.1,17,6.4,43.7,0.2,0.7,0,0.1,23.5,1.2,0.1,0,6
Augite,Pyroxene,0,0,4.904904905,2.502502503,21.32132132,0,0.1001001,0.3003003,1.401401401,44.54454454,3.503503504,1.501501502,1.601601602,18.31831832
Augite,Pyroxene,0,0,10.9,4.1,36.4,0,0.1,0.2,0.7,34.2,2.2,0.9,0.6,9.7
Augite,Pyroxene,0.699300699,0.899100899,18.88111888,5.594405594,44.75524476,0.1998002,0.3996004,0,0,22.37762238,0.899100899,0.0999001,0,5.194805195
Augite,Pyroxene,0,0.6,17.4,4.1,44.4,0,0.6,0,0.1,25.7,0.8,0.1,0,6.2
Augite,Pyroxene,0,0.1998002,14.48551449,5.594405594,42.55744256,0,0.0999001,0,0.1998002,27.67232767,1.198801199,0.0999001,0.0999001,7.792207792
Biotite,Mica,3.696303696,0.2997003,17.38261738,11.98801199,36.26373626,0,0.0999001,0,12.08791209,0.0999001,1.698301698,0,0.4995005,15.88411588
Biotite,Mica,4.604604605,0.600600601,19.11911912,12.61261261,35.53553554,0.1001001,0.2002002,0,11.01101101,0,1.401401401,0.1001001,0.4004004,14.31431431
Biotite,Mica,4.695304695,0.599400599,18.98101898,12.58741259,35.46453546,0.0999001,0.0999001,0,10.88911089,0.0999001,1.498501499,0.0999001,0.3996004,14.48551449
Biotite,Mica,3.493013972,0.299401198,16.96606786,11.77644711,36.22754491,0,0.299401198,0,12.6746507,0.199600798,1.796407186,0.099800399,0.499001996,15.66866267
Biotite,Mica,3.907815631,0.100200401,19.03807615,12.5250501,36.9739479,0.100200401,0.100200401,0,11.62324649,0,1.503006012,0,0.300601202,13.82765531
Biotite,Mica,3.803803804,0.4004004,18.81881882,12.51251251,37.03703704,0.1001001,0.1001001,0,11.51151151,0.1001001,1.501501502,0,0.4004004,13.71371371
Biotite,Mica,4.304304304,0.600600601,18.21821822,12.21221221,36.63663664,0.1001001,0.3003003,0,11.21121121,0.1001001,1.501501502,0.1001001,0.4004004,14.31431431
Biotite,Mica,3.996003996,1.398601399,18.58141858,12.28771229,35.26473526,0.4995005,0.1998002,0,10.58941059,0.0999001,1.398601399,0.0999001,0.4995005,15.08491508
Biotite,Mica,3.996003996,0.4995005,18.28171828,12.18781219,36.86313686,0,0.3996004,0,11.68831169,0.0999001,1.598401598,0.0999001,0.3996004,13.88611389
Biotite,Mica,4.3,0.4,17.6,11.9,35.5,0.1,0.3,0,11.8,0.2,1.6,0.1,0.5,15.7
Biotite,Mica,3.811434303,0.300902708,17.85356068,11.93580742,36.50952859,0,0.200601805,0,12.33701103,0.100300903,1.604814443,0,0.401203611,14.9448345
Biotite,Mica,4.386839482,0.398803589,18.3449651,12.36291127,35.59322034,0.099700897,0,0.099700897,11.46560319,0.099700897,1.595214357,0.099700897,0.498504487,14.9551346
Biotite,Mica,4.99001996,1.097804391,19.06187625,12.3752495,36.02794411,0.199600798,0.399201597,0,10.27944112,0.199600798,1.397205589,0.099800399,0.299401198,13.57285429
Biotite,Mica,4.804804805,0.900900901,18.61861862,12.21221221,35.63563564,0.2002002,0.3003003,0,10.91091091,0.2002002,1.501501502,0,0.4004004,14.31431431
Biotite,Mica,4.509018036,0.200400802,18.63727455,12.4248497,35.97194389,0.100200401,0.200400802,0,11.42284569,0.200400802,1.402805611,0,0.400801603,14.52905812
Biotite,Mica,4,0.6,17.8,12.1,35.6,0,0.2,0,11.7,0.2,1.6,0.1,0.5,15.6
Biotite,Mica,4.5,0.9,18.4,12.4,36,0.2,0.2,0,10.4,0.1,1.6,0.1,0.4,14.8
Biotite,Mica,3.8,0.5,18.7,12.5,36.8,0,0.4,0,11.7,0.1,1.5,0,0.4,13.6
Biotite,Mica,4.704704705,0.700700701,18.81881882,12.31231231,36.03603604,0.1001001,0.2002002,0,10.71071071,0.2002002,1.501501502,0.1001001,0.4004004,14.21421421
Biotite,Mica,4.2,0.2,18.2,12.2,36.3,0,0.1,0,11.5,0.1,1.6,0.1,0.4,15.1
Biotite,Mica,4.3,0.7,18.7,12.3,35.8,0.1,0.3,0,11.1,0.2,1.6,0.1,0.4,14.4
Biotite,Mica,4.008016032,0.300601202,19.23847695,12.6252505,37.3747495,0.100200401,0.200400802,0,11.52304609,0,1.402805611,0,0.300601202,12.9258517
Biotite,Mica,10.51051051,3.803803804,18.31831832,11.81181181,31.63163163,0.900900901,1.401401401,0.2002002,9.109109109,0.3003003,1.101101101,0,0.3003003,10.61061061
Biotite,Mica,3.992015968,0.499001996,19.06187625,12.5748503,37.1257485,0.099800399,0.299401198,0,11.27744511,0.099800399,1.497005988,0.099800399,0.399201597,12.9740519
Biotite,Mica,4.704704705,0.600600601,18.81881882,12.61261261,35.53553554,0,0,0,10.81081081,0,1.601601602,0.1001001,0.4004004,14.81481481
Biotite,Mica,4.9,0.7,18.6,12.5,35.5,0.1,0.3,0,10.6,0.2,1.5,0.1,0.4,14.6
Biotite,Mica,4.108216433,0.501002004,18.03607214,12.2244489,36.17234469,0,0.200400802,0,11.72344689,0.100200401,1.603206413,0.100200401,0.400801603,14.82965932
Biotite,Mica,3.603603604,0.2002002,17.41741742,12.01201201,36.43643644,0,0.1001001,0,12.11211211,0.1001001,1.701701702,0.1001001,0.500500501,15.71571572
Biotite,Mica,4.495504496,0.599400599,19.08091908,12.58741259,36.66333666,0.0999001,0.2997003,0,11.08891109,0.0999001,1.398601399,0.0999001,0.3996004,13.08691309
Biotite,Mica,4.004004004,0.500500501,18.31831832,12.41241241,36.93693694,0,0.4004004,0,11.51151151,0.1001001,1.601601602,0.1001001,0.4004004,13.71371371
Biotite,Mica,4.104104104,0.3003003,18.81881882,12.41241241,36.83683684,0.1001001,0.1001001,0,11.71171171,0,1.501501502,0.1001001,0.4004004,13.61361361
Biotite,Mica,3.9,0.2,18.6,12.5,36.6,0.1,0.1,0,11.8,0,1.6,0.1,0.4,14.1
Biotite,Mica,4,0.5,19.1,12.6,36.9,0.1,0.2,0,11.3,0.1,1.5,0.1,0.3,13.3
Biotite,Mica,5.01002004,0.801603206,19.83967936,12.6252505,36.77354709,0,0.200400802,0,10.42084168,0,1.30260521,0,0.300601202,12.7254509
Biotite,Mica,4,0.4,18.3,12.4,37.1,0,0.4,0,11.9,0.1,1.6,0.1,0.4,13.3
Biotite,Mica,3.203203203,0.1001001,16.81681682,12.91291291,38.73873874,0,0.3003003,0,10.91091091,0.500500501,1.901901902,0,0.4004004,14.21421421
Biotite,Mica,4.004004004,0.4004004,18.61861862,12.31231231,36.63663664,0,0.3003003,0,11.91191191,0.1001001,1.501501502,0.1001001,0.4004004,13.71371371
Biotite,Mica,3.603603604,0.4004004,17.81781782,12.21221221,36.63663664,0,0.3003003,0,12.31231231,0.1001001,1.601601602,0,0.4004004,14.61461461
Biotite,Mica,4.395604396,0.999000999,18.98101898,12.38761239,36.06393606,0.1998002,0.1998002,0,10.58941059,0.0999001,1.498501499,0.0999001,0.3996004,14.08591409
Biotite,Mica,3.096903097,1.298701299,17.08291708,11.68831169,34.26573427,0.3996004,0.3996004,0.0999001,12.08791209,0.3996004,1.798201798,0.0999001,0.599400599,16.68331668
Chlorite,Clay,6.334841629,1.357466063,33.93665158,23.07692308,23.07692308,0.452488688,0.452488688,0,0,0,0,0,0,11.31221719
Chlorite,Clay,2.822580645,0.806451613,34.67741935,24.59677419,24.59677419,0,0.403225806,0,0,0,0,0,0,12.09677419
