Mineral,(Mg+Fe)/Al,(Mg+Fe)/Si,(Ca+Na)/Al,K/(K+Na+Ca),K/(Al+Si),Al/Si,Fe/Si,Ca/Si,K/Si,K/Al,Ca/Na,P/Ca,Ti/Fe,Mg/Al,|Na|,|Mg|,|Al|,|Si|,|P|,|K|,|Ca|,|Ti|,|Fe|
Enstatite,285.94577900,0.82668214,1.81537406,0.36888571,0.00305880,0.00289105,0.03834157,0.00524634,0.00306764,1.06108442,2644.00000000,0.21936460,0.02390933,272.68359640,0.00000108,0.42845604,0.00157126,0.54349104,0.00062548,0.00166724,0.00285134,0.00049823,0.02083830
Hornblendee,5.18637987,0.49230692,2.27715145,0.03456915,0.00706883,0.09492304,0.04152392,0.16494207,0.00773982,0.08153789,3.22076610,0.00000000,0.26728852,4.74893153,0.02810417,0.24738084,0.05209189,0.54878032,0.00000000,0.00424746,0.09051696,0.00609084,0.02278751
Hornblendee,4.97456837,0.49455128,2.22089845,0.03230913,0.00670519,0.09941592,0.04399486,0.16608096,0.00737180,0.07415105,3.03556560,0.00000000,0.27617322,4.53203502,0.02982731,0.24563097,0.05419882,0.54517249,0.00000000,0.00401890,0.09054277,0.00662396,0.02398479
Hornblendee,5.04670892,0.47912886,2.61553724,0.05216664,0.01248177,0.09493887,0.05194141,0.20232969,0.01366677,0.14395335,4.39976593,0.00455064,0.30064392,4.49960519,0.02482284,0.23058965,0.05124664,0.53978564,0.00049700,0.00737713,0.10921466,0.00842922,0.02803723
Hornblendee,5.43344161,0.53187929,2.14912170,0.02033467,0.00397740,0.09788994,0.03833912,0.15778344,0.00436675,0.04460879,3.00002935,0.01179808,0.20045897,5.04178624,0.02836691,0.26619423,0.05279760,0.53935677,0.00100404,0.00235524,0.08510157,0.00414518,0.02067847
Hornblendee,4.90303123,0.54120367,1.94715237,0.02264381,0.00448457,0.11038144,0.03709640,0.15109810,0.00497958,0.04511247,2.36714393,0.01129131,0.22480266,4.56695662,0.03392509,0.26792275,0.05866549,0.53147963,0.00090676,0.00264655,0.08030556,0.00443221,0.01971598
Hornblendee,5.21362407,0.50164291,2.21389282,0.03122770,0.00626373,0.09621770,0.04137087,0.16731257,0.00686641,0.07136330,3.66085776,0.00000000,0.19572464,4.78365255,0.02503128,0.25208783,0.05269777,0.54769312,0.00000000,0.00376069,0.09163594,0.00443484,0.02265854
Hornblendee,5.33446533,0.45839152,3.59761472,0.05111910,0.01533663,0.08593017,0.08510683,0.27715477,0.01665451,0.19381443,8.66409644,0.00000000,0.27945138,4.34404690,0.01689045,0.19709810,0.04537200,0.52801013,0.00000000,0.00879375,0.14634052,0.01255778,0.04493727
Hornblendee,5.11532808,0.48932278,2.26204724,0.03621751,0.00742144,0.09565814,0.04189709,0.17198380,0.00813136,0.08500437,3.87355802,0.00000000,0.21984739,4.67734033,0.02441265,0.24601314,0.05259680,0.54984134,0.00000000,0.00447096,0.09456380,0.00506457,0.02303675
Hornblendee,5.48969127,0.46697850,2.46407306,0.03731943,0.00748858,0.08506462,0.04508913,0.18178049,0.00812560,0.09552264,6.53300512,0.00000000,0.18257046,4.95963384,0.01564952,0.23728229,0.04784270,0.56242777,0.00000000,0.00457006,0.10223840,0.00462987,0.02535938
Hornblendee,4.54102980,0.51021519,2.00523001,0.03175380,0.00664246,0.11235671,0.04267950,0.16615767,0.00738879,0.06576185,2.80940386,0.00445806,0.22276628,4.16117270,0.03170360,0.25062084,0.06022842,0.53604643,0.00039707,0.00396073,0.08906822,0.00509649,0.02287819
Hornblendee,6.07063998,0.51789539,2.41361872,0.02362704,0.00459109,0.08531150,0.03876069,0.15542255,0.00498276,0.05840664,3.07847385,0.00496530,0.28359788,5.61629688,0.02765097,0.26241544,0.04672393,0.54768614,0.00042266,0.00272899,0.08512278,0.00602041,0.02122869
Hornblendee,5.36936467,0.48157470,2.27705251,0.03679069,0.00715861,0.08968933,0.04333640,0.17116862,0.00780066,0.08697418,5.17772064,0.00000000,0.18912861,4.88618122,0.01845320,0.24462250,0.05006415,0.55819515,0.00000000,0.00435429,0.09554550,0.00457505,0.02419017
Hornblendee,5.34652613,0.46957107,2.52132194,0.03401924,0.00716893,0.08782732,0.04869993,0.18147820,0.00779855,0.08879417,4.54118407,0.00000000,0.18732250,4.79202973,0.02225394,0.23436930,0.04890815,0.55686714,0.00000000,0.00434276,0.10105925,0.00508007,0.02711939
Hornblendee,5.45707013,0.48629839,2.45291798,0.02826087,0.00583699,0.08911346,0.04354803,0.17640475,0.00635715,0.07133766,4.18186627,0.00000000,0.20353529,4.96838943,0.02331571,0.24471884,0.04925517,0.55272421,0.00000000,0.00351375,0.09750317,0.00489910,0.02407005
Hornblendee,5.35250139,0.45483311,2.89664437,0.03095201,0.00724626,0.08497580,0.05694255,0.21855565,0.00786202,0.09252066,7.92183143,0.00000000,0.21372848,4.68239829,0.01527644,0.22031765,0.04705231,0.55371419,0.00000000,0.00435331,0.12101737,0.00673884,0.03152990
Hornblendee,4.79792411,0.49738759,2.13677046,0.03286971,0.00682138,0.10366725,0.04271225,0.17058969,0.00752853,0.07262209,3.34992553,0.00000000,0.23032130,4.38591118,0.02767677,0.24711503,0.05634292,0.54349775,0.00000000,0.00409174,0.09271511,0.00534668,0.02321401
Hornblendee,4.74646907,0.44736676,2.69296392,0.04914139,0.01198775,0.09425254,0.06299616,0.22395909,0.01311762,0.13917526,7.50040677,0.00000000,0.29664906,4.07809278,0.01634133,0.21035545,0.05158182,0.54727248,0.00000000,0.00717891,0.12256665,0.01022729,0.03447607
Hornblendee,4.87317581,0.48670779,2.18265719,0.03689255,0.00759211,0.09987487,0.04218893,0.17144519,0.00835037,0.08360832,3.68323805,0.00000000,0.22303451,4.45075791,0.02554273,0.24392815,0.05480598,0.54874646,0.00000000,0.00458224,0.09407994,0.00516348,0.02315103
Hornblendee,4.25544695,0.55481000,1.92213182,0.06090761,0.01437879,0.13037644,0.03753671,0.15533149,0.01625345,0.12466554,1.63044819,0.09328200,0.34570887,3.96753672,0.04812774,0.26131421,0.06586308,0.50517629,0.00731982,0.00821086,0.07846979,0.00655556,0.01896266
Hornblendee,4.97899794,0.51385427,2.15741808,0.02631174,0.00545389,0.10320436,0.04346901,0.16914573,0.00601675,0.05829939,3.16105807,0.00226778,0.25035644,4.55780436,0.02881492,0.25330431,0.05557595,0.53850393,0.00020656,0.00324004,0.09108564,0.00586040,0.02340823
Hornblendee,6.01132753,0.50686597,2.46225653,0.02259658,0.00442658,0.08431847,0.04035571,0.16044804,0.00479982,0.05692487,3.40179718,0.00077359,0.30358951,5.53271699,0.02597266,0.25689263,0.04643155,0.55066878,0.00006835,0.00264311,0.08835373,0.00674656,0.02222263
Hornblendee,6.83437148,0.49168361,3.39209506,0.02551922,0.00596181,0.07194277,0.05083056,0.21013228,0.00639071,0.08883052,6.19778120,0.00000000,0.15613936,6.12782989,0.01860846,0.24196233,0.03948581,0.54885029,0.00000000,0.00350755,0.11533116,0.00435603,0.02789837
Hornblendee,6.66508045,0.48541471,3.89813284,0.03230586,0.00883439,0.07282954,0.07675634,0.25269913,0.00947780,0.13013671,8.09931281,0.00000000,0.17877095,5.61116264,0.01672618,0.21907947,0.03904351,0.53609442,0.00000000,0.00508099,0.13547059,0.00735618,0.04114865
Hornblendee,4.63021474,0.44615683,2.87760894,0.07788393,0.02136132,0.09635770,0.06813166,0.24138916,0.02341965,0.24304910,6.72569117,0.00320828,0.40778630,3.92314454,0.01917467,0.20196117,0.05147941,0.53425324,0.00041375,0.01251203,0.12896294,0.01484324,0.03639956
Hornblendee,5.27845304,0.51978057,2.14378453,0.02441597,0.00480966,0.09847214,0.04105122,0.15686630,0.00528328,0.05365255,2.89225111,0.00370906,0.28578265,4.86157152,0.02936554,0.25919959,0.05331601,0.54143241,0.00031502,0.00286054,0.08493250,0.00635194,0.02222646
Hornblendee,5.61852444,0.51929369,2.32563305,0.02189389,0.00440430,0.09242528,0.04064473,0.16433925,0.00481137,0.05205687,3.24729597,0.00081378,0.21743123,5.17876672,0.02749766,0.26007187,0.05021888,0.54334573,0.00007266,0.00261424,0.08929303,0.00480178,0.02208414
Hornblendee,4.39237672,0.46550971,2.23058196,0.03760609,0.00835228,0.10598128,0.05103863,0.19405262,0.00923746,0.08716126,4.58240683,0.00000000,0.24862551,3.91079520,0.02314291,0.22650947,0.05791903,0.54650247,0.00000000,0.00504830,0.10605024,0.00693485,0.02789274
Hornblendee,5.07914602,0.47618980,2.32996569,0.03728616,0.00773517,0.09375391,0.04636226,0.18227147,0.00846037,0.09024018,5.03903162,0.00000000,0.21794773,4.58463591,0.02001820,0.23787435,0.05188511,0.55341813,0.00000000,0.00468212,0.10087234,0.00559204,0.02565771
Hornblendee,5.34113476,0.54706193,1.94699834,0.01918574,0.00353844,0.10242429,0.04010095,0.15068555,0.00390086,0.03808529,3.09197712,0.01433857,0.17535225,4.94961679,0.02617314,0.27226699,0.05500769,0.53705710,0.00116037,0.00209498,0.08092675,0.00377647,0.02153650
Hornblendee,18.73480663,0.46076121,7.61690244,0.01737979,0.00323379,0.02459386,0.04487099,0.17338589,0.00331333,0.13472163,12.43521097,0.00081812,0.01690460,16.91032724,0.00831484,0.24801167,0.01466628,0.59633926,0.00008459,0.00197587,0.10339682,0.00045234,0.02675833
Hornblendee,5.63056271,0.48839973,2.59323281,0.02923081,0.00623252,0.08674084,0.05130598,0.17962675,0.00677314,0.07808477,3.96418199,0.00000000,0.18020364,5.03907687,0.02495043,0.24067735,0.04776219,0.55063095,0.00000000,0.00372950,0.09890805,0.00509087,0.02825066
Hornblendee,5.04127280,0.45475812,2.53588309,0.04887379,0.01078198,0.09020701,0.04933149,0.19015652,0.01175459,0.13030680,4.92660239,0.00000000,0.32985861,4.49440299,0.02142249,0.22501868,0.05006642,0.55501702,0.00000000,0.00652400,0.10554010,0.00903147,0.02737982
Hornblendee,4.72228412,0.51983761,1.95039982,0.03075985,0.00613814,0.11008182,0.04293078,0.16721780,0.00681384,0.06189798,3.52143067,0.00488348,0.24460276,4.33229441,0.02549223,0.25602239,0.05909626,0.53683942,0.00043839,0.00365794,0.08976911,0.00563734,0.02304693
Hornblendee,5.00378788,0.51619538,2.09365457,0.02697263,0.00542725,0.10316092,0.04226884,0.16443771,0.00598713,0.05803676,3.19013898,0.00121581,0.25272323,4.59405098,0.02782927,0.25587098,0.05569616,0.53989587,0.00010794,0.00323243,0.08877924,0.00576734,0.02282077
Hornblendee,4.55732340,0.46286027,2.34755382,0.04459535,0.01010295,0.10156406,0.05228461,0.20113750,0.01112905,0.10957660,5.39393003,0.00000000,0.26603212,4.04252904,0.02040035,0.22461729,0.05556356,0.54707891,0.00000000,0.00608847,0.11003808,0.00760953,0.02860381
Hornblendee,5.20119931,0.56827586,2.20626336,0.06969204,0.01627934,0.10925862,0.04051724,0.15968652,0.01805799,0.16527752,1.96255201,0.09321751,0.38943907,4.83036137,0.04135940,0.26826404,0.05553705,0.50830821,0.00756646,0.00917903,0.08116997,0.00802059,0.02059525
Hornblendee,4.67427825,0.47765556,2.31149810,0.03506435,0.00778764,0.10218809,0.05256914,0.19260882,0.00858344,0.08399646,4.41775916,0.00008158,0.24200419,4.15984316,0.02372886,0.23135563,0.05561643,0.54425550,0.00000855,0.00467158,0.10482841,0.00692399,0.02861104
Hornblendee,4.62711532,0.47531016,2.25191492,0.03310975,0.00718342,0.10272278,0.04939982,0.18464776,0.00792132,0.07711354,3.95601380,0.00000000,0.23665593,4.14621112,0.02551997,0.23286922,0.05616434,0.54675643,0.00000000,0.00433103,0.10095735,0.00639200,0.02700967
Kaolinite,0.02101297,0.02370539,0.01462539,0.44036810,0.00610073,1.12813139,0.00318882,0.00332447,0.01298316,0.01150855,0.25233388,1.55658324,0.53204765,0.01818634,0.00602091,0.00937605,0.51555442,0.45699856,0.00236488,0.00593329,0.00151928,0.00077534,0.00145728
Kaolinite,0.03836613,0.04025638,0.04450641,0.23188339,0.00687944,1.04926850,0.00382333,0.00166643,0.01409781,0.01343585,0.03700495,13.87959866,0.23688047,0.03472233,0.02071083,0.01675578,0.48256497,0.45990608,0.01063737,0.00648367,0.00076640,0.00041652,0.00175837
Kaolinite,0.03131738,0.03278713,0.05350388,0.08970233,0.00269662,1.04693069,0.00336139,0.00026238,0.00551980,0.00527237,0.00470609,178.71698110,0.04712813,0.02810668,0.02547751,0.01344684,0.47842149,0.45697532,0.02142807,0.00252241,0.00011990,0.00007239,0.00153607
Kaolinite,0.02354382,0.02488658,0.02510162,0.22249159,0.00369111,1.05703229,0.00465172,0.00006138,0.00759274,0.00718307,0.00231878,241.69565220,0.00631096,0.01914308,0.01242279,0.00949588,0.49604735,0.46928306,0.00696222,0.00356315,0.00002881,0.00001378,0.00218297
Kaolinite,0.02897711,0.03219305,0.02558827,0.33446671,0.00676779,1.11098201,0.00333594,0.00262541,0.01428667,0.01285950,0.10174922,4.32765957,0.50837241,0.02597442,0.01173412,0.01312315,0.50523351,0.45476300,0.00516695,0.00649705,0.00119394,0.00077123,0.00151706
Kaolinite,0.01220059,0.01371587,0.00142104,0.82144430,0.00345985,1.12419730,0.00538352,0.00101840,0.00734941,0.00653747,1.75850340,0.27466151,0.09476766,0.00741182,0.00026966,0.00387975,0.52345461,0.46562522,0.00013024,0.00342207,0.00047419,0.00023756,0.00250671
Kaolinite,0.02642866,0.02943898,0.03381056,0.50560905,0.01822045,1.11390361,0.00329212,0.00547229,0.03851628,0.03457775,0.17000261,3.69166923,0.44966786,0.02347318,0.01436256,0.01166644,0.49701152,0.44618899,0.00901385,0.01718554,0.00244167,0.00066052,0.00146891
Kaolinite,0.02118315,0.02333827,0.00905253,0.55258234,0.00586076,1.10173734,0.00413790,0.00367281,0.01231777,0.01118031,0.58291956,1.19818285,0.18598790,0.01742735,0.00292711,0.00891988,0.51183197,0.46456805,0.00204442,0.00572244,0.00170627,0.00035753,0.00192234
Kaolinite,0.04798975,0.04922739,0.04958390,0.22433397,0.00726148,1.02578972,0.00597558,0.00441235,0.01471023,0.01434039,0.09499070,5.09714286,0.31766124,0.04216440,0.02145532,0.01997794,0.47381057,0.46189834,0.01038826,0.00679463,0.00203806,0.00087678,0.00276011
Kaolinite,0.03933770,0.03951079,0.04995525,0.25243198,0.00845273,1.00440008,0.00374243,0.00154712,0.01694266,0.01686844,0.03181553,24.29969419,0.43615676,0.03561166,0.02261496,0.01663447,0.46710732,0.46506102,0.01748380,0.00787937,0.00071951,0.00075911,0.00174046
Kaolinite,0.02943600,0.03191562,0.02436021,0.39312807,0.00820909,1.08423761,0.00357342,0.00316801,0.01710970,0.01578040,0.13629243,3.35402299,0.98573370,0.02614021,0.01069279,0.01303795,0.49876991,0.46001901,0.00488797,0.00787079,0.00145735,0.00162039,0.00164384
Kaolinite,0.01938089,0.02214027,0.01186446,0.53394356,0.00724800,1.14237652,0.00169698,0.00441437,0.01552795,0.01359267,0.48300971,1.32663317,1.46949891,0.01789540,0.00415056,0.00928418,0.51880259,0.45414325,0.00265958,0.00705191,0.00200476,0.00113250,0.00077067
Kaolinite,0.01654613,0.01828537,0.00279031,0.69548413,0.00334550,1.10511463,0.00565226,0.00204132,0.00704266,0.00637279,1.95849802,0.07366297,0.19424198,0.01143150,0.00048824,0.00591778,0.51767276,0.46843354,0.00007044,0.00329902,0.00095622,0.00051430,0.00264771
Kaolinite,0.02234689,0.02524187,0.04182066,0.37297975,0.01319507,1.12954741,0.00287754,0.00386489,0.02809953,0.02487680,0.08910702,7.88855551,0.28957974,0.01979937,0.01917953,0.00988938,0.49947953,0.44219439,0.01348179,0.01242545,0.00170903,0.00036847,0.00127243
Kaolinite,0.02887501,0.03215661,0.02818711,0.34131294,0.00769555,1.11364860,0.00300841,0.00406849,0.01626568,0.01460576,0.14890876,2.61272265,0.46730902,0.02617361,0.01238816,0.01321616,0.50494221,0.45341252,0.00481970,0.00737507,0.00184471,0.00063743,0.00136405
Kaolinite,0.01849008,0.02126368,0.00912508,0.56296084,0.00628716,1.15000460,0.00325807,0.00317990,0.01351743,0.01175424,0.43476894,1.20679682,0.32180663,0.01565699,0.00332429,0.00818375,0.52269003,0.45451125,0.00174418,0.00614382,0.00144530,0.00047654,0.00148083
Kaolinite,0.01697537,0.01927455,0.00477891,0.72927546,0.00684495,1.13544188,0.00526264,0.00406555,0.01461700,0.01287340,2.98798077,0.33467418,0.23555003,0.01234049,0.00062490,0.00643527,0.52147645,0.45927181,0.00062490,0.00671317,0.00186719,0.00056932,0.00241698
Kaolinite,0.01106002,0.01252604,0.00796313,0.40240060,0.00284768,1.13255140,0.00305679,0.00073363,0.00607282,0.00536207,0.08854878,6.41049383,0.17185185,0.00836099,0.00382610,0.00437299,0.52302248,0.46180905,0.00217185,0.00280448,0.00033880,0.00024260,0.00141165
Kaolinite,0.02160747,0.02376512,0.01116845,0.50845287,0.00605097,1.09985704,0.00340752,0.00262872,0.01270617,0.01155256,0.27226519,2.01623377,0.25109581,0.01850932,0.00448075,0.00944770,0.51042951,0.46408714,0.00245971,0.00589677,0.00121995,0.00039708,0.00158138
Kaolinite,0.02234993,0.02326404,0.00690774,0.66849918,0.00710460,1.04089988,0.00579117,0.00237688,0.01449978,0.01393004,0.49380677,2.44481605,0.27796843,0.01678631,0.00229945,0.00834715,0.49725908,0.47772037,0.00277605,0.00692684,0.00113549,0.00076902,0.00276656
Kaolinite,0.02500266,0.02631211,0.02279498,0.36687352,0.00677296,1.05237229,0.00249965,0.00206018,0.01390063,0.01320885,0.09394945,9.55298913,0.47928332,0.02262741,0.01025923,0.01114058,0.49234879,0.46784660,0.00920764,0.00650336,0.00096385,0.00056050,0.00116945
Kaolinite,0.01892133,0.02101790,0.01505980,0.46760467,0.00696071,1.11080440,0.00385810,0.00284451,0.01469269,0.01322707,0.20487729,3.62168309,0.34320850,0.01544809,0.00638382,0.00789004,0.51074531,0.45979770,0.00473680,0.00675567,0.00130790,0.00060883,0.00177395
Kaolinite,0.02621569,0.02822545,0.04268737,0.30644084,0.00977859,1.07666253,0.00282033,0.00261224,0.02030683,0.01886090,0.06026250,10.64830508,1.18838305,0.02359618,0.01968270,0.01153560,0.48887602,0.45406616,0.01263026,0.00922064,0.00118613,0.00152186,0.00128062
Kaolinite,0.01231693,0.01301049,0.01277706,0.50660888,0.00673931,1.05630964,0.00252504,0.00170707,0.01385810,0.01311935,0.14479638,9.60416667,0.60563380,0.00992649,0.00557527,0.00495860,0.49953189,0.47290290,0.00775324,0.00655354,0.00080728,0.00072319,0.00119410
Kaolinite,0.01353091,0.01542389,0.00601130,0.66734116,0.00642378,1.13990080,0.00335737,0.00374917,0.01374625,0.01205916,1.20819342,0.10839355,0.70701428,0.01058559,0.00142430,0.00553840,0.52320148,0.45898861,0.00018653,0.00630937,0.00172083,0.00108951,0.00154099
Kaolinite,0.02094404,0.02308211,0.00963226,0.49883202,0.00502648,1.10208488,0.00221757,0.00273936,0.01056609,0.00958736,0.34780126,1.78981938,0.55273834,0.01893188,0.00365914,0.00969327,0.51200766,0.46458097,0.00227782,0.00490880,0.00127265,0.00056946,0.00103024
Kaolinite,0.02698270,0.03107375,0.02103388,0.47484026,0.01017932,1.15161766,0.00406424,0.00756916,0.02190200,0.01901847,0.45449975,1.25420354,1.24268644,0.02345354,0.00742361,0.01203976,0.51334495,0.44575988,0.00423172,0.00976303,0.00337403,0.00225134,0.00181167
Kaolinite,0.02300238,0.02603910,0.01727994,0.49878088,0.00913034,1.13201788,0.00417976,0.00467171,0.01946604,0.01719588,0.31375859,2.08109147,0.75687285,0.01931007,0.00673742,0.00989124,0.51223224,0.45249483,0.00439927,0.00880828,0.00211392,0.00143149,0.00189132
Kaolinite,0.01293477,0.01483642,0.00564327,0.66074265,0.00587177,1.14701927,0.00225805,0.00386255,0.01260679,0.01099092,1.47968070,0.60372732,0.39345638,0.01096614,0.00119515,0.00575892,0.52515451,0.45784280,0.00106766,0.00577193,0.00176844,0.00040677,0.00103383
Kaolinite,0.00795327,0.00889747,0.00264598,0.67048711,0.00284283,1.11871872,0.00467039,0.00292292,0.00602317,0.00538399,78.61538462,0.00000000,0.64849969,0.00377851,0.00001738,0.00197562,0.52285660,0.46737092,0.00000000,0.00281505,0.00136609,0.00141555,0.00218280
Kaolinite,0.01313243,0.01436442,0.00129759,0.79197080,0.00258065,1.09381225,0.00478710,0.00107694,0.00540339,0.00493996,3.14545455,0.00000000,0.07997399,0.00875591,0.00016185,0.00452746,0.51707547,0.47272781,0.00000000,0.00255433,0.00050910,0.00018098,0.00226300
Kaolinite,0.01925115,0.02053456,0.00408792,0.50455532,0.00214869,1.06666667,0.00510500,0.00142803,0.00444063,0.00416309,0.48697917,0.24064171,0.08900524,0.01446521,0.00139852,0.00735862,0.50871161,0.47691714,0.00016389,0.00211781,0.00068105,0.00021670,0.00243466
Kaolinite,0.04527404,0.04714625,0.05225831,0.34185508,0.01384700,1.04135289,0.00225261,0.00733915,0.02826661,0.02714413,0.15588607,8.53015302,1.73900293,0.04311089,0.02103949,0.02006235,0.46536618,0.44688614,0.02797688,0.01263196,0.00327976,0.00175059,0.00100666
Kaolinite,0.03277672,0.03466908,0.01890453,0.33386945,0.00487047,1.05773486,0.00601489,0.00264333,0.01002213,0.00947509,0.15233017,4.42161339,0.23879599,0.02709015,0.00812562,0.01341774,0.49529946,0.46826429,0.00547297,0.00469301,0.00123778,0.00067258,0.00281656
Kaolinite,0.03727176,0.04009885,0.02262340,0.37928248,0.00716444,1.07585071,0.00591217,0.00482859,0.01487232,0.01382377,0.24748295,4.95800525,0.23687031,0.03177642,0.00894785,0.01567835,0.49339591,0.45861002,0.01097921,0.00682059,0.00221444,0.00064225,0.00271138
Kaolinite,0.01127318,0.01234808,0.00270378,0.75887369,0.00444829,1.09535059,0.00335615,0.00295916,0.00932073,0.00850936,1215.00000000,0.00000000,0.49419449,0.00820919,0.00000115,0.00423820,0.51627552,0.47133359,0.00000000,0.00439318,0.00139475,0.00078175,0.00158186
Kaolinite,0.03468327,0.03666199,0.01643071,0.38682720,0.00532649,1.05705115,0.00266800,0.00448144,0.01095687,0.01036551,0.34775841,2.21396598,1.65714286,0.03215926,0.00603200,0.01591195,0.49478585,0.46808127,0.00464419,0.00512871,0.00209768,0.00206951,0.00124884
Kaolinite,0.01476463,0.01613845,0.00206720,0.80791367,0.00454058,1.09304786,0.00426945,0.00150637,0.00950366,0.00869464,2.00000000,5.25561798,0.30426165,0.01085863,0.00035358,0.00557187,0.51312815,0.46944710,0.00371656,0.00446147,0.00070716,0.00060983,0.00200428
Kaolinite,0.02623954,0.02817101,0.01165944,0.60745957,0.00934178,1.07360892,0.00610497,0.00647925,0.01937121,0.01804307,1.07300276,1.87804878,0.84059946,0.02055315,0.00280731,0.01025865,0.49912803,0.46490675,0.00565715,0.00900580,0.00301225,0.00238582,0.00283824
Kaolinite,0.05986294,0.06760414,0.03052495,0.65211843,0.03034766,1.12931536,0.00538709,0.03161436,0.06461974,0.05722028,11.06194690,2.36160000,4.25821596,0.05509272,0.00119399,0.02599296,0.47180398,0.41777876,0.03119156,0.02699676,0.01320781,0.00958358,0.00225061
Labradorite,0.01138264,0.00879914,0.45666069,0.05776794,0.01220685,0.77303163,0.00503978,0.28150123,0.02164312,0.02799772,3.93642314,0.01638953,1.29779259,0.00486315,0.03299067,0.00173431,0.35662341,0.46133094,0.00212843,0.00998464,0.12986523,0.00301737,0.00232501
Labradorite,0.00916344,0.00700395,0.41347084,0.04725302,0.00888383,0.76433682,0.00225676,0.21139903,0.01567407,0.02050675,2.02040598,0.05507268,0.03262411,0.00621087,0.04947695,0.00224479,0.36142928,0.47286650,0.00550526,0.00741174,0.09996352,0.00003481,0.00106715
Labradorite,0.00889595,0.00679601,0.41592839,0.04475804,0.00844021,0.76394443,0.00229645,0.20601186,0.01488806,0.01948840,1.84376523,0.05795635,0.00677507,0.00588990,0.05282123,0.00212712,0.36114670,0.47273950,0.00564437,0.00703817,0.09738994,0.00000736,0.00108563
Labradorite,0.01168451,0.00903027,0.42143549,0.05055110,0.00978162,0.77284127,0.00261765,0.24521927,0.01734125,0.02243831,3.04682766,0.01681108,1.58749168,0.00829747,0.03772910,0.00300611,0.36229311,0.46878074,0.00193250,0.00812925,0.11495407,0.00194801,0.00122710
Labradorite,0.01591023,0.01214457,0.41970949,0.05630557,0.01084036,0.76331824,0.00308484,0.22316375,0.01911500,0.02504198,2.29573051,0.04338680,0.88181328,0.01186888,0.04569444,0.00425869,0.35881139,0.47006788,0.00455137,0.00898535,0.10490211,0.00127870,0.00145008
Labradorite,0.00862454,0.00661587,0.40024932,0.03321867,0.00597001,0.76709814,0.00256587,0.20742679,0.01054959,0.01375259,2.08252047,0.02605296,0.01192606,0.00527964,0.04750434,0.00193158,0.36585473,0.47693341,0.00257739,0.00503145,0.09892876,0.00001459,0.00122375
Labradorite,0.01949950,0.01499042,0.41920239,0.06252787,0.01215236,0.76875910,0.00206944,0.21211006,0.02149460,0.02796012,1.92554968,0.06048276,0.86666667,0.01680758,0.05142334,0.00603183,0.35887564,0.46682458,0.00598889,0.01003421,0.09901819,0.00083726,0.00096607
Labradorite,0.01436672,0.01093973,0.42287178,0.04256789,0.00812753,0.76146379,0.00243866,0.19241305,0.01431634,0.01880108,1.48480044,0.07441968,0.02564103,0.01116412,0.06103730,0.00400408,0.35865603,0.47100865,0.00674452,0.00674312,0.09062821,0.00002945,0.00114863
Labradorite,0.01335729,0.01022853,0.42500110,0.04955065,0.00960888,0.76576395,0.00238934,0.22193698,0.01696701,0.02215697,2.14403813,0.04090875,0.80056180,0.01023708,0.04861155,0.00368140,0.35961456,0.46961542,0.00426372,0.00796797,0.10422503,0.00089829,0.00112207
Labradorite,0.01024134,0.00789488,0.41844468,0.04660454,0.00890414,0.77088314,0.00269274,0.23540832,0.01576819,0.02045470,2.70076304,0.01870800,0.93991989,0.00674828,0.04103647,0.00244916,0.36293025,0.47079802,0.00207340,0.00742363,0.11082977,0.00119157,0.00126774
Labradorite,0.00804453,0.00613932,0.40980413,0.04364160,0.00809436,0.76316735,0.00172189,0.22072470,0.01427171,0.01870063,2.39854429,0.02578640,0.04838710,0.00578829,0.04377733,0.00210144,0.36304954,0.47571419,0.00270762,0.00678926,0.10500187,0.00003964,0.00081913
Labradorite,0.01970375,0.01555350,0.64449062,0.05016255,0.01501504,0.78936743,0.01102372,0.45175808,0.02686743,0.03403666,7.92810747,0.00194582,1.56314384,0.00573849,0.02415878,0.00192051,0.33467073,0.42397332,0.00037269,0.01139107,0.19153337,0.00730577,0.00467376
Labradorite,0.02001366,0.01533241,0.42425624,0.06359763,0.01249902,0.76609726,0.00207141,0.21265005,0.02207448,0.02881421,1.89238417,0.06858446,0.50891531,0.01730982,0.05240806,0.00618470,0.35729409,0.46638216,0.00680195,0.01029515,0.09917619,0.00049165,0.00096607
Labradorite,0.01293916,0.00981679,0.41757626,0.04761651,0.00900650,0.75868834,0.00210644,0.19651286,0.01583963,0.02087765,1.63355896,0.06733223,0.04691877,0.01016274,0.05689203,0.00364644,0.35880518,0.47292829,0.00625762,0.00749101,0.09293649,0.00004674,0.00099620
Labradorite,0.01127772,0.00888057,0.48377732,0.06749643,0.01542635,0.78744410,0.00646134,0.32979953,0.02757373,0.03501675,6.44793713,0.01243906,1.78382582,0.00307226,0.02303475,0.00108951,0.35462879,0.45035423,0.00184753,0.01241795,0.14852661,0.00519074,0.00290989
Labradorite,0.01118916,0.00874613,0.48370827,0.06597675,0.01499029,0.78166118,0.00577351,0.31980457,0.02670762,0.03416778,5.48630705,0.01260021,1.85421031,0.00380295,0.02637685,0.00134511,0.35370152,0.45249978,0.00182340,0.01208519,0.14471150,0.00484415,0.00261251
